ts,AOI_Control_Loop_Flow_Eq_Feed_Tank.LIT_30_01,AOI_Control_Loop_Flow_Eq_Feed_Tank.SP_Level_Flow_Eq_Tank,AOI_Control_Loop_Flow_Eq_Feed_Tank.Water_Off_Range,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZC_30_03,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCC_30_07,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCC_30_08,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCO_30_07,AOI_Control_Loop_Flow_Eq_Feed_Tank.ZCO_30_08,AOI_Control_Loop_Flow_Eq_Feed_Tank.Sts_Auto,AOI_Control_Loop_Flow_Eq_Feed_Tank.Water_Off_Range_SCADA_Reset,AOI_Control_Loop_Flow_Eq_Feed_Tank.ATS_1_Utility_Power
2024-06-13 09:20:39,20.886960983276367,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:41,21.299081802368164,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:44,21.046062469482422,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:46,20.883758544921875,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:49,21.346677780151367,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:52,20.535503387451172,15.0,False,64.57915496826172,False,True,True,False,True,False,True
2024-06-13 09:20:54,20.80335235595703,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:20:57,21.157005310058594,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:20:59,20.835044860839844,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:02,21.0416202545166,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:04,21.172237396240234,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:06,20.5896053314209,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:09,21.2281551361084,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:11,20.997661590576172,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:13,21.1662654876709,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:16,21.280590057373047,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:18,21.276906967163086,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:20,21.085208892822266,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:23,21.165874481201172,15.0,False,54.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:25,20.874773025512695,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:27,21.524396896362305,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:30,21.441097259521484,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:32,21.441097259521484,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:35,22.10946273803711,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:37,22.262493133544922,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:40,22.221050262451172,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:42,22.71553611755371,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:45,22.579748153686523,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:47,22.768095016479492,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:52,23.350664138793945,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:54,23.625986099243164,15.0,False,44.579158782958984,False,True,True,False,True,False,True
2024-06-13 09:21:57,23.25040054321289,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:21:59,23.509523391723633,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:02,23.323442459106445,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:04,23.962200164794922,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:07,23.652137756347656,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:09,24.099037170410156,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:12,24.20522117614746,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:14,24.40273094177246,15.0,False,34.57916259765625,False,True,True,False,True,False,True
2024-06-13 09:22:17,24.363605499267578,15.0,False,34.57916259765625,False,True,True,False,True,False,True
