ts,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Flow_Rate,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SP_Recycle_Pump_Stop_Level,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.FIT_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.LIT_30_01,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UCR_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.SC_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.PSH_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.UA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.YA_30_04,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Sts_Auto,AOI_C_Loop_Cascade_Aerator_Recycle_Pump.Power_Failure
2024-06-19 16:53:54,200.0,3.5,86.6440658569336,15.150684356689453,True,92.10784912109375,False,False,False,True,False
2024-06-19 16:53:56,200.0,3.5,86.6440658569336,15.150684356689453,True,91.24114990234375,False,False,False,True,False
2024-06-19 16:53:59,200.0,3.5,93.27622985839844,14.751577377319336,True,90.3621597290039,False,False,False,True,False
2024-06-19 16:54:01,200.0,3.5,106.5666732788086,14.953289985656738,True,89.36416625976562,False,False,False,True,False
2024-06-19 16:54:04,200.0,3.5,113.1567153930664,14.577658653259277,True,88.51409149169922,False,False,False,True,False
2024-06-19 16:54:06,200.0,3.5,113.1567153930664,14.577658653259277,True,87.5606918334961,False,False,False,True,False
2024-06-19 16:54:09,200.0,3.5,127.16712188720703,14.20812702178955,True,86.54374694824219,False,False,False,True,False
2024-06-19 16:54:12,200.0,3.5,127.16712188720703,14.20812702178955,True,85.46224212646484,False,False,False,True,False
2024-06-19 16:54:14,200.0,3.5,139.88623046875,14.270092964172363,True,84.46088409423828,False,False,False,True,False
2024-06-19 16:54:18,200.0,3.5,147.078125,13.99870777130127,True,82.10380554199219,False,False,False,True,False
2024-06-19 16:54:20,200.0,3.5,153.16429138183594,13.707764625549316,True,81.09945678710938,False,False,False,True,False
2024-06-19 16:54:22,200.0,3.5,159.99853515625,13.902233123779297,True,79.8858871459961,False,False,False,True,False
2024-06-19 16:54:25,200.0,3.5,166.742431640625,14.162430763244629,True,78.70096588134766,False,False,False,True,False
2024-06-19 16:54:27,200.0,3.5,173.7408447265625,14.119390487670898,True,77.43110656738281,False,False,False,True,False
2024-06-19 16:54:29,200.0,3.5,180.01637268066406,14.800430297851562,True,76.26091003417969,False,False,False,True,False
2024-06-19 16:54:32,200.0,3.5,186.74530029296875,14.291787147521973,True,74.99559020996094,False,False,False,True,False
2024-06-19 16:54:34,200.0,3.5,193.44093322753906,14.746402740478516,True,73.70890808105469,False,False,False,True,False
2024-06-19 16:54:37,200.0,3.5,193.44093322753906,14.746402740478516,True,73.73622131347656,False,False,False,True,False
2024-06-19 16:54:39,200.0,3.5,200.3504638671875,15.020415306091309,True,72.36149597167969,False,False,False,True,False
2024-06-19 16:54:42,200.0,3.5,199.77723693847656,15.211006164550781,True,72.47634887695312,False,False,False,True,False
2024-06-19 16:54:44,200.0,3.5,200.4889373779297,15.622469902038574,True,72.33267211914062,False,False,False,True,False
2024-06-19 16:54:46,200.0,3.5,199.89297485351562,15.568114280700684,True,72.45157623291016,False,False,False,True,False
2024-06-19 16:54:49,200.0,3.5,199.6787872314453,15.520041465759277,True,72.49547576904297,False,False,False,True,False
2024-06-19 16:54:52,200.0,3.5,200.14877319335938,16.08452796936035,True,72.44140625,False,False,False,True,False
2024-06-19 16:54:54,200.0,3.5,200.22036743164062,15.878406524658203,True,72.40151977539062,False,False,False,True,False
2024-06-19 16:54:57,200.0,3.5,200.22036743164062,15.878406524658203,True,72.38632202148438,False,False,False,True,False
2024-06-19 16:54:59,200.0,3.5,199.93045043945312,15.7918062210083,True,72.44448852539062,False,False,False,True,False
2024-06-19 16:55:02,200.0,3.5,200.18856811523438,16.077993392944336,True,72.39218139648438,False,False,False,True,False
2024-06-19 16:55:04,200.0,3.5,200.12841796875,16.150114059448242,True,72.46288299560547,False,False,False,True,False
2024-06-19 16:55:07,200.0,3.5,200.12841796875,16.150114059448242,True,72.40434265136719,False,False,False,True,False
